comuna,ica,fecha,id
comuna 16,47,2024-06-23,47785
comuna 8,63,2024-06-23,10537
comuna 14,28,2024-06-23,42665
comuna 12,51,2024-07-31,6400
comuna 14,35,2024-06-25,19995
comuna 11,89,2024-07-31,3351
comuna 5,60,2024-06-25,34281
comuna 3,72,2024-06-25,17578
comuna 12,27,2024-06-23,40802
comuna 6,65,2024-07-31,43334
comuna 4,43,2024-06-25,7954
comuna 15,38,2024-06-23,40898
comuna 13,61,2024-06-23,46989
comuna 1,69,2024-06-23,37265
comuna 11,25,2024-07-31,40201
comuna 4,77,2024-06-23,34319
comuna 15,52,2024-06-23,36686
comuna 1,72,2024-07-31,20890
comuna 2,61,2024-01-30,38073
comuna 2,45,2024-06-23,41022
comuna 5,17,2024-06-23,26355
comuna 7,49,2024-06-23,17045
comuna 2,61,2024-06-25,5339
comuna 6,43,2024-06-25,2075
comuna 15,33,2024-07-31,28746
comuna 8,46,2024-06-23,43635
comuna 12,17,2024-06-23,39526
comuna 5,78,2024-06-23,42841
comuna 14,33,2024-06-23,29127
comuna 8,30,2024-07-31,19043
comuna 6,66,2024-06-25,43943
comuna 11,29,2024-01-30,1782
comuna 4,53,2024-06-25,15823
comuna 11,24,2024-06-23,32877
comuna 10,39,2024-01-30,6868
comuna 8,88,2024-01-30,16730
comuna 6,60,2024-01-30,23113
comuna 11,48,2024-07-31,13484
comuna 16,67,2024-01-30,17566
comuna 1,20,2024-06-25,16644
comuna 10,32,2024-06-25,48600
comuna 10,95,2024-06-25,31736
comuna 1,49,2024-06-23,3807
comuna 15,87,2024-01-30,46764
comuna 8,74,2024-01-30,9802
comuna 6,17,2024-06-25,19730
comuna 12,88,2024-06-23,19168
comuna 10,84,2024-06-23,33869
comuna 5,45,2024-01-30,40166
comuna 10,76,2024-06-25,43767
comuna 1,84,2024-06-23,21210
comuna 11,85,2024-06-23,13905
comuna 3,78,2024-01-30,19005
comuna 10,52,2024-07-31,44208
comuna 2,80,2024-06-25,10267
comuna 16,24,2024-07-31,3214
comuna 7,90,2024-06-23,16073
comuna 4,73,2024-01-30,30659
comuna 6,96,2024-06-25,49175
comuna 13,60,2024-07-31,6482
comuna 10,18,2024-06-23,392
comuna 10,39,2024-07-31,7753
comuna 7,52,2024-01-30,47082
comuna 4,96,2024-06-25,24954
comuna 8,17,2024-01-30,45929
comuna 16,25,2024-06-23,14662
comuna 3,82,2024-01-30,21854
comuna 2,44,2024-06-23,44931
comuna 12,74,2024-06-23,17561
comuna 4,88,2024-01-30,1346
comuna 6,37,2024-07-31,45295
comuna 4,64,2024-06-25,29844
comuna 1,92,2024-06-25,14988
comuna 11,63,2024-01-30,5066
comuna 3,42,2024-06-23,30724
comuna 5,79,2024-06-25,15043
comuna 10,36,2024-01-30,20685
comuna 10,45,2024-06-25,9196
comuna 10,53,2024-07-31,42567
comuna 7,27,2024-07-31,3926
comuna 14,43,2024-06-25,4671
comuna 15,49,2024-06-25,27286
comuna 11,52,2024-07-31,43762
comuna 16,54,2024-01-30,16474
comuna 15,66,2024-06-25,40829
comuna 1,38,2024-07-31,26381
comuna 14,70,2024-06-25,6171
comuna 3,16,2024-01-30,119
comuna 16,26,2024-06-23,43610
comuna 1,97,2024-01-30,9774
comuna 8,58,2024-06-25,4729
comuna 11,69,2024-06-25,30808
comuna 1,72,2024-06-23,31872
comuna 3,84,2024-07-31,20397
comuna 2,90,2024-06-23,33785
comuna 13,77,2024-06-25,8122
comuna 11,87,2024-07-31,5095
comuna 3,88,2024-07-31,42097
comuna 1,13,2024-01-30,24277
comuna 10,77,2024-06-23,11611
comuna 6,65,2024-06-25,13145
comuna 6,13,2024-06-25,1016
comuna 7,97,2024-06-25,28450
comuna 11,88,2024-01-30,12837
comuna 2,46,2024-01-30,44943
comuna 3,42,2024-07-31,30146
comuna 6,60,2024-01-30,44926
comuna 5,50,2024-07-31,43225
comuna 15,96,2024-06-25,29418
